Country,2012,2011,2010,2008,2006,isoa2
Afghanistan,2.48,2.48,2.48,3.02,3.06,
Albania,5.67,5.81,5.86,5.91,5.91,
Algeria,3.83,3.44,3.44,3.32,3.17,
Angola,3.35,3.32,3.32,3.35,2.41,
Argentina,6.84,6.84,6.84,6.63,6.63,
Armenia,4.09,4.09,4.09,4.09,4.15,
Australia,9.22,9.22,9.22,9.09,9.09,
Austria,8.62,8.49,8.49,8.49,8.69,
Azerbaijan,3.15,3.15,3.15,3.19,3.31,
Bahrain,2.53,2.92,3.49,3.38,3.53,
Bangladesh,5.86,5.86,5.87,5.52,6.11,
Belarus,3.04,3.16,3.34,3.34,3.34,
Belgium,8.05,8.05,8.05,8.16,8.15,
Benin,6,6.06,6.17,6.06,6.16,
Bhutan,4.65,4.57,4.68,4.3,2.62,
Bolivia,5.84,5.84,5.92,6.15,5.98,
Bosnia and Herz.,5.11,5.24,5.32,5.7,5.78,
Botswana,7.85,7.63,7.63,7.47,7.6,
Brazil,7.12,7.12,7.12,7.38,7.38,
Bulgaria,6.72,6.78,6.84,7.02,7.1,
Burkina Faso,3.52,3.59,3.59,3.6,3.72,
Burundi,3.6,4.01,4.01,4.51,4.51,
Cambodia,4.96,4.87,4.87,4.87,4.77,
Cameroon,3.44,3.41,3.41,3.46,3.27,
Canada,9.08,9.08,9.08,9.07,9.07,
Cape Verde,7.92,7.92,7.94,7.81,7.43,
Central African Rep.,1.99,1.82,1.82,1.86,1.61,
Chad,1.62,1.62,1.52,1.52,1.65,
Chile,7.54,7.54,7.67,7.89,7.89,
China,3,3.14,3.14,3.04,2.97,
Colombia,6.63,6.63,6.55,6.54,6.4,
Comoros,3.52,3.52,3.41,3.58,3.9,
Congo,2.89,2.89,2.89,2.94,3.19,
Dem. Rep. Congo,1.92,2.15,2.15,2.28,2.76,
Costa Rica ,8.1,8.1,8.04,8.04,8.04,
Côte d'Ivoire,3.25,3.08,3.02,3.27,3.38,
Croatia,6.93,6.73,6.81,7.04,7.04,
Cuba,3.52,3.52,3.52,3.52,3.52,
Cyprus,7.29,7.29,7.29,7.7,7.6,
Czech Rep.,8.19,8.19,8.19,8.19,8.17,
Denmark,9.52,9.52,9.52,9.52,9.52,
Djibouti,2.74,2.68,2.2,2.37,2.37,
Dominican Rep.,6.49,6.2,6.2,6.2,6.13,
Ecuador,5.78,5.72,5.77,5.64,5.64,
Egypt,4.56,3.95,3.07,3.89,3.9,
El Salvador ,6.47,6.47,6.47,6.4,6.22,
Eq. Guinea,1.83,1.77,1.84,2.19,2.09,
Eritrea,2.4,2.34,2.31,2.31,2.31,
Estonia,7.61,7.61,7.68,7.68,7.74,
Ethiopia,3.72,3.79,3.68,4.52,4.72,
Fiji,3.67,3.67,3.62,5.11,5.66,
Finland,9.06,9.06,9.19,9.25,9.25,
France,7.88,7.77,7.77,8.07,8.07,
Gabon,3.56,3.48,3.29,3,2.72,
Gambia,3.31,3.38,3.38,4.19,4.39,
Georgia,5.53,4.74,4.59,4.62,4.9,
Germany,8.34,8.34,8.38,8.82,8.82,
Ghana,6.02,6.02,6.02,5.35,5.35,
Greece,7.65,7.65,7.92,8.13,8.13,
Guatemala,5.88,5.88,6.05,6.07,6.07,
Guinea,2.79,2.79,2.79,2.09,2.02,
Guinea-Bissau,1.43,1.99,1.99,1.99,2,
Guyana,6.05,6.05,6.05,6.12,6.15,
Haiti,3.96,4,4,4.19,4.19,
Honduras,5.84,5.84,5.76,6.18,6.25,
Hong Kong,6.42,5.92,5.92,5.85,6.03,
Hungary,6.96,7.04,7.21,7.44,7.53,
