Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Albania,,0.00,0.00,0.00,0.00,0.01,,0.32,2.01,2.88,3.29,3.99,4.96
Algeria,,0.00,0.00,0.06,0.11,0.41,0.51,0.85,1.41,2.34,2.54,2.78,3.05
American Samoa,,0.00,0.00,,,,,,,,,,
Andorra,,,1.66,4.99,8.34,13.28,18.30,22.76,25.03,27.42,28.87,29.90,30.97
Angola,,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.09,0.11,0.10,0.13,0.16
Anguilla,,10.69,11.59,13.13,11.13,16.34,20.27,22.93,24.79,24.93,24.67,25.23,25.77
Antigua & Barbuda,,0.00,0.00,0.00,0.12,0.94,1.81,2.64,5.74,7.27,8.03,6.70,5.63
Argentina,,0.25,0.39,0.68,1.42,2.40,4.06,6.60,8.02,8.67,9.56,10.35,10.88
Armenia,,0.00,0.00,0.00,0.03,0.06,,0.13,0.36,1.01,2.75,4.98,6.64
Aruba,,0.00,0.00,1.44,7.03,12.15,13.58,15.35,17.43,17.63,17.88,,
Ascension,,0.00,0.00,0.00,4.38,,,,,,,,
Australia,,0.63,1.32,2.60,5.03,9.88,18.80,,23.94,23.25,24.14,23.94,25.06
Austria,2.38,3.99,5.58,7.39,10.63,14.26,17.31,19.52,20.73,22.05,23.63,24.60,25.23
Azerbaijan,,0.00,0.01,,,0.03,0.05,0.17,0.67,1.10,5.01,10.73,13.80
Bahamas,,1.37,2.47,3.53,4.07,4.19,5.12,6.23,7.64,9.34,7.20,4.46,2.76
Bahrain,0.00,0.18,0.78,1.50,2.23,2.96,4.76,7.21,7.30,6.50,5.36,13.83,12.74
Bangladesh,,0.00,0.00,0.00,0.00,0.00,,0.03,0.03,0.21,0.28,0.31,0.34
Barbados,,0.00,0.00,10.14,10.98,11.81,14.31,17.35,18.08,21.01,20.56,22.14,23.82
Belarus,,0.00,0.00,0.00,0.01,0.02,0.12,1.75,4.94,11.34,17.36,21.94,26.56
Belgium,1.42,4.50,7.95,12.06,15.64,19.31,23.40,25.76,27.94,29.40,31.49,32.81,34.11
Belize,,0.00,0.00,0.35,1.03,1.79,2.52,2.55,2.69,2.73,2.86,3.05,3.08
Benin,,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.03,0.04,0.04,0.05
Bermuda,,0.00,0.00,,,28.83,36.75,44.65,52.52,61.73,61.75,,
Bhutan,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.47,1.20,1.79,2.23
Bolivia,,0.00,0.04,0.07,0.10,0.14,0.19,0.36,0.82,0.98,0.97,0.65,1.08
Bosnia and Herzegovina,0.00,0.00,0.01,0.04,0.18,0.36,1.06,2.24,4.99,6.27,8.18,9.71,10.79
Botswana,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.46,0.50,0.60,0.77,0.78
Brazil,0.06,0.19,0.41,0.53,1.72,1.74,2.54,4.01,5.05,5.85,6.81,8.57,9.17
British Virgin Islands,,0.00,0.00,,,,,,,23.53,23.28,24.09,24.99
Brunei Darussalam,,0.57,0.81,1.10,1.76,2.24,2.42,3.08,4.39,5.11,5.44,5.71,4.81
Bulgaria,,0.00,0.00,0.00,0.09,2.14,5.00,8.23,10.78,12.70,14.52,16.45,17.65
Burkina Faso,,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.07,0.07,0.08,0.08,0.08
Burundi,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,,0.00,0.00,0.00,0.01,0.01,0.02,0.06,0.12,0.21,0.25,0.15,0.21
Cameroon,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
Canada,4.60,9.16,11.24,14.28,16.95,21.70,24.65,27.52,29.53,29.64,30.80,31.83,32.89
Cape Verde,0.00,0.00,0.00,0.00,0.06,0.20,0.38,0.79,1.51,2.23,3.04,4.02,3.78
Cayman Islands,,0.00,0.00,,,,,,31.70,32.81,33.53,33.17,33.77
Central African Rep.,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chad,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.16
Chile,0.05,0.43,1.19,2.21,2.97,4.35,6.19,7.74,8.50,9.70,10.40,11.60,12.44
China,0.00,0.03,0.26,0.87,1.92,2.86,3.87,5.03,6.24,7.79,9.42,11.61,12.97
Cocos Keeling Islands,,,,,,,,,,,,,
Colombia,0.02,0.03,0.08,0.15,0.30,0.74,1.44,2.72,3.91,4.57,5.56,6.94,8.36
Comoros,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.02,0.03
Congo,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
Congo (Dem. Rep.),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Costa Rica,,0.00,0.22,0.36,0.66,1.04,1.90,2.13,2.38,3.92,10.34,9.09,10.04
Côte d'Ivoire,,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.05,0.05,0.04,0.25,0.24
Croatia,,0.00,0.00,0.08,0.59,2.62,5.68,8.74,11.87,15.53,18.25,19.59,20.29
Cuba,,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.04,0.04
Cyprus,,0.26,0.60,1.01,1.68,3.09,6.02,9.18,13.67,16.12,17.58,18.94,19.22
Czech Republic,0.02,0.06,0.15,0.34,2.31,6.94,10.84,14.51,16.96,12.98,14.58,15.84,16.60
D.P.R. Korea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Denmark,1.25,4.44,8.40,13.34,18.84,24.80,31.88,34.41,36.11,36.15,37.20,37.60,38.22
Djibouti,0.00,0.00,0.00,,,0.01,0.02,0.13,0.29,0.61,0.91,1.25,1.72
Dominica,0.11,0.25,3.23,3.83,4.71,4.93,6.26,7.31,10.27,10.75,12.27,12.27,12.56
Dominican Rep.,,0.00,0.00,0.17,0.41,0.65,1.09,1.61,2.34,3.01,3.64,4.02,4.42
Ecuador,,0.02,0.05,0.05,0.09,0.20,0.34,0.72,1.11,1.69,1.37,4.22,5.42
Egypt,,0.00,0.07,0.08,0.11,0.19,0.34,0.62,0.98,1.31,1.79,2.23,2.72
El Salvador,,0.00,0.00,0.33,0.49,0.70,1.01,1.47,2.01,2.43,2.83,3.31,3.86
Equatorial Guinea,,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.17,0.19,0.20
Eritrea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Estonia,,1.28,3.43,6.68,10.28,13.31,18.36,18.80,20.97,22.44,23.26,24.77,25.67
Ethiopia,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04
Falkland (Malvinas) Is.,,0.00,0.00,0.00,0.00,0.00,10.75,20.75,29.67,37.92,38.91,39.94,40.48
