Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,,0.00,0.00,0.09,0.11,1.22,2.11,1.90,1.84,3.55,4.00,5.00,5.45
Albania,0.11,0.33,0.39,0.97,2.42,6.04,9.61,15.04,23.86,41.20,45.00,49.00,54.66
Algeria,0.49,0.65,1.59,2.20,4.63,5.84,7.38,9.45,10.18,11.23,12.50,14.00,15.23
American Samoa,,,,,,,,,,,,,
Andorra,10.54,,11.26,13.55,26.84,37.61,48.94,70.87,70.04,78.53,81.00,81.00,86.43
Angola,0.11,0.14,0.27,0.37,0.46,1.14,1.91,3.20,4.60,6.00,10.00,14.78,16.94
Anguilla,22.41,25.88,24.80,24.52,25.04,29.00,36.00,41.00,44.00,48.00,49.60,53.64,59.21
Antigua & Barbuda,6.48,8.90,12.50,17.23,24.27,34.72,62.64,70.06,75.03,74.20,80.00,82.00,83.79
Argentina,7.04,9.78,10.88,11.91,16.04,17.72,20.93,25.95,28.11,34.00,45.00,51.00,55.80
Armenia,1.30,1.63,1.96,4.58,4.90,5.25,5.63,6.02,6.21,15.30,25.00,32.00,39.16
Aruba,15.44,17.10,18.80,20.80,23.00,25.40,28.00,30.90,52.00,58.00,62.00,69.00,74.00
Ascension,34.94,38.17,,,,,,33.00,33.00,33.00,35.00,36.00,41.03
Australia,46.76,52.69,,,,63.00,66.00,69.45,71.67,74.25,76.00,79.50,82.35
Austria,33.73,39.19,36.56,42.70,54.28,58.00,63.60,69.37,72.87,73.45,75.17,79.80,81.00
Azerbaijan,0.15,0.31,5.00,,,8.03,11.99,14.54,17.08,27.40,46.00,50.00,54.20
Bahamas,8.00,11.80,18.00,20.00,22.00,25.00,26.00,27.00,31.54,33.88,43.00,65.00,71.75
Bahrain,6.15,15.04,18.05,21.55,21.46,21.30,28.24,32.91,51.95,53.00,55.00,77.00,88.00
Bangladesh,0.07,0.13,0.14,0.16,0.20,0.24,1.00,1.80,2.50,3.10,3.70,5.00,6.30
Barbados,3.97,11.94,27.84,39.69,49.80,56.07,63.00,64.70,66.50,68.70,70.20,71.77,73.33
Belarus,1.86,4.30,8.95,,,,16.20,19.70,23.00,27.43,31.80,39.60,46.91
Belgium,29.43,31.29,46.33,49.97,53.86,55.82,59.72,64.44,66.00,70.00,75.00,78.00,82.00
Belize,5.96,,5.68,,5.79,9.21,10.40,10.86,11.31,11.73,14.00,18.70,25.00
Benin,0.23,0.36,0.70,0.95,1.18,1.27,1.54,1.79,1.85,2.24,3.13,3.50,3.80
Bermuda,42.95,47.51,52.03,56.52,60.99,65.45,69.90,74.35,82.30,83.25,84.21,88.34,91.30
Bhutan,0.40,0.86,1.68,2.44,3.16,3.85,4.52,5.92,6.55,7.17,13.60,21.00,25.43
Bolivia,1.44,2.12,3.12,3.51,4.44,5.23,6.20,10.50,12.50,16.80,22.40,30.00,34.19
Bosnia and Herzegovina,1.08,1.20,2.65,3.97,15.47,21.33,25.12,27.92,34.66,37.74,52.00,60.00,65.36
Botswana,2.90,3.43,3.39,3.35,3.30,3.26,4.29,5.28,6.25,6.15,6.00,8.00,11.50
Brazil,2.87,4.53,9.15,13.21,19.07,21.02,28.18,30.88,33.83,39.22,40.65,45.00,49.85
British Virgin Islands,,,18.89,,,,,,,36.00,37.00,,
Brunei Darussalam,9.00,12.92,15.33,19.60,29.72,36.47,42.19,44.68,46.00,49.00,53.00,56.00,60.27
Bulgaria,5.37,7.61,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45.00,46.23,51.00,55.15
Burkina Faso,0.08,0.16,0.20,0.37,0.40,0.47,0.63,0.75,0.92,1.13,2.40,3.00,3.73
Burundi,0.08,0.11,0.12,0.20,0.35,0.54,0.66,0.70,0.81,0.90,1.00,1.11,1.22
Cambodia,0.05,0.08,0.23,0.26,0.30,0.32,0.47,0.49,0.51,0.53,1.26,3.10,4.94
Cameroon,0.25,0.28,0.36,0.59,0.98,1.40,2.03,2.93,3.40,3.84,4.30,5.00,5.70
Canada,51.30,60.20,61.59,64.20,65.96,71.66,72.40,73.20,76.70,80.30,80.30,83.00,86.77
Cape Verde,1.82,2.69,3.52,4.32,5.32,6.07,6.81,8.28,14.00,21.00,30.00,32.00,34.74
Cayman Islands,,,,,,38.03,44.50,52.00,61.00,64.50,66.00,69.47,74.13
Central African Rep.,0.05,0.08,0.13,0.15,0.22,0.27,0.31,0.38,1.00,1.80,2.00,2.20,3.00
Chad,0.04,0.05,0.17,0.32,0.36,0.40,0.58,0.85,1.19,1.50,1.70,1.90,2.10
Chile,16.60,19.10,22.10,25.47,28.18,31.18,34.50,35.90,37.30,41.56,45.00,52.25,61.42
China,1.78,2.64,4.60,6.20,7.30,8.52,10.52,16.00,22.60,28.90,34.30,38.30,42.30
Cocos Keeling Islands,,,,,,,,,,,,,
Colombia,2.21,2.85,4.60,7.39,9.12,11.01,15.34,21.80,25.60,30.00,36.50,40.40,48.98
