country,downbypop,downloads
New Caledonia,0.016268,37
Austria,0.011205,920
Singapore,0.010070,469
Cape Verde,0.009779,42
Montenegro,0.008629,58
Portugal,0.006967,746
Northern Mariana Islands,0.006767,6
Monaco,0.006067,2
Guernsey,0.005828,4
Uruguay,0.005380,188
Fiji,0.005187,49
Bolivia,0.005166,505
Greece,0.005132,551
Andorra,0.004768,4
Italy,0.004532,2634
Argentina,0.004429,1812
Germany,0.004112,3385
Costa Rica,0.003902,166
Switzerland,0.003814,290
Spain,0.003783,1533
United Arab Emirates,0.003751,180
Estonia,0.003386,44
Zimbabwe,0.003336,421
Ecuador,0.003314,483
San Marino,0.003298,1
